Telur Ayam;28000.000000;350;3000.000000;1050000.000000
Minyak Goreng;15000.000000;500;2000.000000;1000000.000000
Gula Pasir;14000.000000;450;1800.000000;810000.000000
Tepung Terigu;12000.000000;400;1500.000000;600000.000000
Sarden Kaleng;13000.000000;220;2200.000000;484000.000000
Kecap Manis;11000.000000;260;1800.000000;468000.000000
Saus Sambal;10000.000000;240;1700.000000;408000.000000
Roti Tawar;10000.000000;200;2000.000000;400000.000000
Kopi Kapal Api;5000.000000;350;900.000000;315000.000000
Energen;4000.000000;300;800.000000;240000.000000
Es Krim;8000.000000;150;1500.000000;225000.000000
Air Mineral Gelas;2000.000000;700;300.000000;210000.000000
Indomie Goreng;3000.000000;500;500.000000;250000.000000
Indomie Kuah;3000.000000;450;500.000000;225000.000000
Mie Sedap;3200.000000;480;500.000000;240000.000000
Teh Pucuk;3500.000000;400;700.000000;280000.000000
Teh Botol;4500.000000;350;900.000000;315000.000000
Susu Ultra;5000.000000;300;1000.000000;300000.000000
Biskuit Oreo;8000.000000;200;1500.000000;300000.000000
Biskuit Roma;6000.000000;250;1200.000000;300000.000000
Chitato;10000.000000;150;2000.000000;300000.000000
Qtela;9000.000000;180;1800.000000;324000.000000
SilverQueen;12000.000000;120;2500.000000;300000.000000
Lifebuoy Sabun;5000.000000;220;1000.000000;220000.000000
Dettol;20000.000000;80;4000.000000;320000.000000
Shampoo Sunsilk;15000.000000;100;3000.000000;300000.000000
Shampoo Head&Shoulders;18000.000000;90;3500.000000;315000.000000
Pasta Gigi;7000.000000;300;1200.000000;360000.000000
Baygon;25000.000000;60;5000.000000;300000.000000
Minyak Goreng Bimoli;15000.000000;500;2000.000000;1000000.000000
Gula Merah;12000.000000;320;1500.000000;480000.000000
Garam Dapur;3000.000000;600;400.000000;240000.000000
Tepung Beras;11000.000000;210;1600.000000;336000.000000
Susu Kental Manis;12000.000000;270;1800.000000;486000.000000
Susu Bubuk;25000.000000;140;3500.000000;490000.000000
Air Mineral Botol;4000.000000;600;800.000000;480000.000000
Roti Isi Coklat;7000.000000;180;1300.000000;234000.000000
Roti Manis;6500.000000;200;1200.000000;240000.000000
Kerupuk Udang;9000.000000;160;1700.000000;272000.000000
Keripik Singkong;8000.000000;190;1500.000000;285000.000000
Wafer Tango;5000.000000;300;900.000000;270000.000000
Snack Taro;7000.000000;220;1200.000000;264000.000000
Pop Mie;4000.000000;420;700.000000;294000.000000
Sosis Kanzler;18000.000000;140;3000.000000;420000.000000
Nugget;22000.000000;130;3500.000000;455000.000000
Daging Ayam;35000.000000;200;5000.000000;1000000.000000
Daging Sapi;120000.000000;80;15000.000000;1200000.000000
Ikan Kaleng;15000.000000;210;2500.000000;525000.000000
Ikan Segar;30000.000000;150;4000.000000;600000.000000
Udang;45000.000000;100;6000.000000;600000.000000
Telur Bebek;32000.000000;300;3500.000000;1050000.000000
Telur Ayam Kampung;40000.000000;250;5000.000000;1250000.000000
Kecap ABC;11000.000000;260;1800.000000;468000.000000
Saus Tomat;9500.000000;240;1500.000000;360000.000000
Sirup Marjan;20000.000000;180;3000.000000;540000.000000
Sirup ABC;18000.000000;200;2800.000000;560000.000000
Air Kelapa;5000.000000;500;800.000000;400000.000000
Teh Celup;8000.000000;350;1200.000000;420000.000000
Kopi Sachet;3000.000000;800;500.000000;400000.000000
Beras Premium;15000.000000;700;2000.000000;1400000.000000
Beras Medium;13000.000000;650;1800.000000;1170000.000000
Margarine;10000.000000;300;1500.000000;450000.000000
Mentega;12000.000000;280;1800.000000;504000.000000
Susu Formula;45000.000000;90;7000.000000;630000.000000
Vitamin C;25000.000000;120;4000.000000;480000.000000
Masker Wajah;5000.000000;500;800.000000;400000.000000
Sabun Mandi;4000.000000;600;700.000000;420000.000000
Pewangi Pakaian;12000.000000;250;1800.000000;450000.000000
Pembersih Lantai;15000.000000;200;2200.000000;440000.000000
Tissue;3000.000000;900;500.000000;450000.000000
Pampers;25000.000000;150;4000.000000;600000.000000
Obat Flu;10000.000000;300;1500.000000;450000.000000
Paracetamol;8000.000000;400;1200.000000;480000.000000
Minyak Kayu Putih;20000.000000;180;3000.000000;540000.000000
Koyo;5000.000000;500;700.000000;350000.000000
Panci;75000.000000;50;10000.000000;500000.000000
Wajan;85000.000000;40;12000.000000;480000.000000
Sendok Garpu;15000.000000;300;2000.000000;600000.000000
Gelas Plastik;2000.000000;1000;300.000000;300000.000000
Botol Minum;10000.000000;350;1500.000000;525000.000000

